AP,HE,accuracy,aimTime,caliber,corrShotMultiplier,dispersionAngle,dispersionMax,dispersionMin,inst_num,isCluster,isFireAndForget,isHEAT,isKE,isMissile,isNapalm,isRadar,isSEAD,isSmoke,loadType,maxrangeDef,maxrangeGround,maxrangeHeli,maxrangePlane,maxrangeShip,minrangeDef,minrangeGround,minrangeHeli,minrangePlane,minrangeShip,missileAcceleration,missileCorrInterval,missileSpeedMax,muzzleVelocity,name,noiseMalus,radiusDamage,radiusNapalm,radiusSmoke,radiusSuppress,salvoLength,salvoReload,salvoVisAmmo,shotReload,simultShots,stabilizer,supplyPerShot,suppress,typeArme
11,1,0.45,1,90mm,,0.29,,,79471,,,true,,,,,,,,,1925,,,1925,,,,,,,,,3461.54,Cockerill Mk.3 M-A1,1.9,2.5,,,225,1,8.5,1,1,1,0.05,15,104,Main Gun
,1,0.2,0.4,23mm,,1.15,,,121868,,,,,,,,,,,,2100,1575,1750,2100,,,,,,,,,5769.23,Twin Type 23-2K,1.46,8.5,,,29,10,1,40,0.2,1,0.2,40,46,Autocannon
,1,0.45,0.6,5.45mm,,0.57,,,123201,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,Type 88-1,1.545,2.5,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
16,1,0.7,1,105mm,,0.29,,,77722,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,MECA L/48,2.05,2.5,,,262.5,1,6.6,1,1,1,0.05,20,121,Main Gun
,1,0.45,0.6,5.56mm,,0.57,,,124082,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,HK416F,1,2.5,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
,1,0.5,0.6,5.56mm,,0.57,,,121267,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,M27 IAR,1.556,2.5,,,50,8,5,80,2,1,0.2,4,40,Assault Rifles
15,1,0.6,1,120mm,,0.29,,,80741,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L44,2.2,2.5,,,300,1,6.6,1,1,1,0.5,25,138,Main Gun
12,1,0.35,1,73mm HEAT,,0.57,,,78118,,,true,,,,,,,,,1575,,,1575,,,,,,,,,3461.54,2A28 Grom [Auto],1.73,2.5,,,182.5,40,6,40,6,1,0.1,600,84,Main Gun
,0.5,0.4,2,5.56mm,,0.57,,,121768,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,MG4,2.25,2.5,,,50,20,5,200,0.8,1,0.2,20,40,SAW
8,1,0.25,,450kg,,0.57,,,89642,true,,true,,,,,,,,,3500,,,3500,,,,,,,,,576.92,IBL-755,6,225,,,250,4,5,4,0.2,2,0.25,2500,300,AT Cluster Bomb
,3,0.65,1.4,105mm,,0.29,,,122971,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,M35,2.05,39.5,,,131.5,1,6,1,1,1,0.55,20,121,Main Gun
15,1,0.55,1,125mm,,0.29,,,121563,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,ZPT-98 [Auto],2.25,2.5,,,312.5,42,7.5,42,7.5,1,0.45,1050,144,Main Gun
,7,0.65,0.2,Radar,,0.57,,,122478,,true,,,true,,true,,,,,,2800,4200,,,,630,,,2000,10,15000,2000,MIM-104F,2,245,,,490,8,30,8,2,1,0.6,1064,280,SAM
14,1,0.4,,73mm HEAT,,0.86,,,122160,,,true,,,,,,,,,700,,,700,,,,,,,,,769.23,RPG-7-AT Nader,2.66,2.5,,,207.5,1,6,1,1,1,0.05,20,292,LAW
,11,,10,GPS-guided,1,0.06,35,35,123675,,,,,,,,,,,,42000,,,42000,,8400,,,8400,,,,1057.69,M31A2 [10s],2.51,136,,,680,6,100.69,6,2,1,,510,450,MLRS
4,1,0.6,1,30mm,,0.57,,,78179,,,,true,,,,,,,,1750,,,1750,,,,,,,,,3461.54,Mk44 Bushmaster II,1.6,11.5,,,37.5,2,1.8,15,1.4,1,0.3,15,60,Autocannon
20,1,0.7,,Antiradar,,0.57,,,123669,,true,true,,true,,,true,,,,5600,,,5600,,875,,,875,2000,10,15000,2000,AARGM-ER,2,5,,,10,1,2.2,1,0.4,1,0.7,3250,150,Anti-Radar
,5,,6,120mm,,0.06,105,105,84870,,,,,,,,,,,,8400,,,8400,,770,,,770,,,,826.92,2R2M,1.8,60,,,180,3,10,3,4,1,,105,265,Mortar
,0.5,0.2,2,7.62mm,,0.57,,,124032,,,,,,,,,,,,875,595,,875,,87,,,87,,,,3461.54,MG 2A1,2.25,3,,,50,10,5,100,1,1,0.05,10,55,LMG
,1,0.6,1,30mm,,0.57,,,86828,,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,GIAT 30,1.6,11.5,,,37.5,2,1,15,0.6,1,0.5,15,60,Autocannon
,11,0.5,0.2,GNSS-guided,,0.57,,,123473,,true,,,true,,,,,,,3500,,,3500,,1400,,,1400,1000,10,750,1000,AGP-250,2,120,,,210,2,1,2,0.6,1,0.5,2000,600,Laser Guided HE Bomb
,,,4,120mm,,0.06,175,175,84881,,,,,,,,,true,,,7700,,,7700,,770,,,770,,,,826.92,T64,1.8,60,,150,180,6,4,6,4,1,,105,,Mortar
,0.5,0.5,2,5.56mm,,0.57,,,81840,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,Negev NG5,2.25,2.5,,,50,20,5,200,0.8,1,0.3,20,40,SAW
2,1,0.5,0.2,30mm,,0.57,,,86340,,,,true,,,,,,,,1575,,,1575,,,,,,,,,3461.54,Twin M230,1.6,11.5,,,37.5,4,0.8,30,0.4,1,0.05,30,60,Anti-Aircraft Autocannon
17,1,0.4,,120mm HEAT,,0.86,,,78943,,,true,,,,,,,,,1400,,,1400,,,,,,,,,2692.31,PF-98A [SMK],2.9,2.5,,,270,1,7.5,1,1,1,0.05,20,480,LAW
,1,0.6,0.6,7.62mm,,0.57,,,78711,,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,G3A6,1.762,3,,,10,6,6,60,3,1,0.15,6,50,Battle Rifle
,5,0.3,0.2,130mm,,1.15,,,89212,,,,,,,,,,,,2450,,,2450,,700,,,700,,,,2307.69,130-1,1.866667,49.02,,,169.42,16,0.2,16,0.2,8,0.3,600,300,Rocket Pod
,9,,35,170mm,,0.06,140,140,80419,,,,,,,,,,,,42000,,,42000,,4200,,,4200,,,,1057.69,M1978 [35s],2.13,170,,,340,4,30,4,12.5,1,,380,380,Howitzer
,3,0.3,0.2,80mm,,1.15,,,122492,,,,,,,,,,,,2450,,,2450,,700,,,700,,,,2307.69,S-8OF,1.466667,26.5,,,87.5,40,1,40,0.2,20,0.3,700,161,Rocket Pod
,3,0.6,1.4,120mm,,0.29,,,80742,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,L44,2.2,45,,,150,1,6.6,1,1,1,0.5,25,138,Main Gun
20,1,,15,Inertial-guidance,1,0.06,133,133,122642,true,,true,,,,,,,,,98000,,,98000,,8400,,,8400,,,,1057.69,Rezvan [15s],5.07,250,,,250,1,160,1,1,1,,1000,1420,TBM
,1,0.3,1,5.56mm,,0.57,,,123224,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,K2,1.556,2.5,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
16,1,0.35,2,SACLOS,,1.2,,,123349,,,true,,true,,,,,,,2275,,,2275,,175,,,175,500,2.3,600,500,Bulsae-1M,2,5,,,400,6,20,6,1,1,0.05,366,150,ATGM
,0.5,0.3,1.5,7.62mm,,0.57,,,122351,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,RPK,2.25,3,,,50,8,4,80,0.8,1,0.1,8,40,SAW
11,1,0.6,4,MMW,,1.15,,,124119,true,true,true,,true,,,,,,,2275,,,2275,,175,,,175,500,1.6,750,500,AT-1K Raybolt,2,5,,,400,2,20,2,6,1,0.1,200,150,ATGM
23,1,0.6,0.2,SACLOS,,0.74,,,122607,,,true,,true,,,,,,,875,,,875,,,,,,1000,10,1200,1000,Eryx,2,5,,,400,1,5,1,1,1,0.05,75,150,ATGM
,1,0.3,1,7.62mm,,0.57,,,78851,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,QBZ-191,1.58,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,3,0.5,1.4,115mm,,0.29,,,123143,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A20,2.15,43.5,,,144,1,7.5,1,1,1,0.35,25,133,Main Gun
25,1,0.6,2,SACLOS,,0.74,,,121511,,,true,,true,,,,,,,2625,,,2625,,175,,,175,750,1.5,1500,1000,9M120M Ataka,2,5,,,400,4,20,4,1,1,0.45,800,150,ATGM
2,1,0.6,1,30mm,,0.57,,,121242,,,,true,,,,,,,,1750,,,1750,,,,,,,,,3461.54,M230LP,1.6,11.5,,,37.5,2,1.6,15,1.2,1,0.5,15,60,Autocannon
,5,0.6,0.2,Infrared,,0.57,,,89237,,true,,,true,,,,,,,,2275,4900,,,,350,700,,2000,10,15000,2000,MICA IR,2,175,,,350,1,2,1,2,1,0.6,600,200,AAM
,5,,8,120mm,,0.06,140,140,84880,,,,,,,,,,,,7700,,,7700,,770,,,770,,,,826.92,T64,1.8,60,,,180,3,12,3,4,1,,105,265,Mortar
,5,0.6,0.2,Radar,,0.57,,,88917,,true,,,true,,true,,,,,,,7000,,,,,700,,1500,10,20000,1500,R-77-1,2,175,,,350,1,2,1,2,1,0.6,1000,200,AAM
,1,0.23,1.4,5.56mm,,0.57,,,124040,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,INSAS,1.556,3,,,10,3,8,30,3,1,0.1,3,40,Assault Rifles
21,1,0.65,4,SALH,,0.63,,,122964,,true,true,,true,,,,,,,2450,,,2450,,175,,,175,500,1.1,750,500,MELLS,2.25,5.12,,,400,1,5,1,1,1,0.05,477,150,ATGM
,6,0.6,1,SACLOS,,0.57,,,79290,,,,,true,,,,,,,,3325,2625,,,,,,,2000,10,12500,2000,Crotale,2,210,,,420,4,20,4,1,1,0.05,408,240,SAM
,5,0.5,1,SALH,,0.57,,,120540,,,,,true,,,,,,,,2625,2100,,,,,,,2000,10,9000,1500,Starburst,2,175,,,350,1,5,1,0.2,1,0.5,66,200,SAM
,1,0.8,0.2,5.56mm,,0.57,,,123236,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,SCAR-L,1.556,2.5,,,10,8,3,80,1.3,1,0.8,8,40,Assault Rifles
24,1,0.7,,MMW,,1.72,,,85787,,true,true,,true,,,,,,,2800,,,2800,,175,,,175,700,1.2,1400,700,AGM-114L Hellfire,2,5,,,400,2,4,2,0.6,1,0.5,600,150,ATGM
,,,17,175mm,,0.06,280,280,80284,,,,,,,,,true,,,35000,,,35000,,3500,,,3500,,,,1057.69,M113A1 [35s],2.17,175,,250,350,2,15,2,12.5,1,,89,,Howitzer
,3,0.5,1.4,105mm,,0.29,,,84422,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,ZPL-98,2.05,39.5,,,131.5,1,7.5,1,1,1,0.35,20,121,Main Gun
12,1,0.5,,84mm HEAT,,0.86,,,80035,,,true,,,,,,,,,1400,,,1400,,,,,,,,,769.23,M3E1 MAAWS [SMK],2.68,2.5,,,210,1,7.5,1,1,1,0.05,20,336,LAW
,8,0.45,1.4,165mm,,0.57,,,79138,,,,,,,,,,,,1575,,,1575,,175,,,175,,,,1057.69,M135,2.1,165,,,330,1,10,1,1,1,0.45,50,380,Main Gun
24,1,0.6,,105mm HEAT,,0.86,,,123048,,,true,,,,,,,,,875,,,875,,,,,,,,,769.23,RPG-29 Qadir,3.1,2.5,,,262.5,1,4,1,1,1,0.05,10,420,LAW
,1,0.3,0.4,23mm,,1.15,,,88382,,,,,,,,,,,,2100,1575,2275,2100,,,,,,,,,5769.23,GSh-23L,1.46,8.5,,,29,10,1,50,0.2,1,0.3,25,46,Autocannon
,12,,30,Laser-guided,0.05,0.06,242,242,121537,,,,,,,,,,,,9625,,,9625,,962,,,962,,,,826.92,1K113 Smelchak [30s],2.07,240,,,480,1,30,1,1,1,,1600,552,Mortar
16,1,0.45,2,SACLOS,,1.43,,,123351,,,true,,true,,,,,,,2450,,,2450,,175,,,175,500,2.7,700,500,Bulsae-2,2,5,,,400,1,5,1,1,1,0.45,75,150,ATGM
19,1,0.5,,SACLOS,,1.43,,,123461,,,true,,true,,,,,,,2450,,,2450,,175,,,175,500,2.7,700,500,Bulsae-3,2,5,,,400,1,5,1,1,1,0.4,75,150,ATGM
,9,0.7,0.2,Radar,,0.57,,,82590,,,,,true,,true,,,,,,2800,4550,,,,560,,,2000,10,15000,2000,MIM-104E,2,315,,,630,4,30,4,1,1,0.7,814,360,SAM
,9,,35,175mm,,0.06,280,280,80283,,,,,,,,,,,,35000,,,35000,,3500,,,3500,,,,1057.69,M113A1 [35s],2.17,175,,,350,2,30,2,12.5,1,,89,380,Howitzer
,2,0.3,1,Napalm,,0.57,,,79706,,,,,,true,,,,,,1050,,,1050,,,,,,,,,423.08,ATO-200,3,100,275,,200,20,4,20,1,1,0.2,200,100,Flamethrower
3,1,0.6,1,30mm,,0.57,,,86827,,,,true,,,,,,,,1575,,,1575,,,,,,,,,3461.54,GIAT 30,1.6,11.5,,,37.5,2,1,15,0.6,1,0.5,15,60,Autocannon
,2,0.15,1,40mm Frag,,0.86,,,123662,,,,,,,,,,,,1225,,,1225,,52,,,52,,,,769.23,GMG,2.25,25,,,90,10,7,30,0.8,1,0.1,80,90,Grenade Launcher
11,1,0.6,4,MMW,,1.15,,,123238,true,true,true,,true,,,,,,,2275,,,2275,,175,,,175,500,1.6,750,500,AT-1K Raybolt,2,5,,,400,1,10,1,1,1,0.1,200,150,ATGM
,24,0.5,0.2,TV-guided,,0.01,,,123723,,true,,,true,,,,,,,3500,,,3500,,1400,,,1400,1000,10,750,1000,KAB 1500Kr,2,462.5,,,925,2,1,2,1,1,0.5,5000,600,Anti-Radar
,5,0.35,0.2,Infrared,,0.57,,,123000,,true,,,true,,,,,,,,2275,3500,,,,420,700,,2000,10,9000,2000,PL-2B,2,175,,,350,1,2,1,2,1,0.35,600,200,AAM
,3,0.7,1.4,105mm,,0.29,,,77723,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,MECA L/48,2.05,39.5,,,131.5,1,6.6,1,1,1,0.05,20,121,Main Gun
,1,0.45,,30mm Radar,,0.11,,,122232,,,,,,,true,,,,2625,1050,2625,1575,1050,,,,,,,,,3461.54,H/PJ-11,6.4,46,,,150,30,6,300,0.1,1,0.45,10,,CIWS
19,1,0.5,2,SACLOS,,1.43,,,123161,,,true,,true,,,,,,,2450,,,2450,,175,,,175,500,2.7,700,500,Bulsae-3,2,5,,,400,2,10,2,1,1,0.4,150,150,ATGM
,1,0.23,1.4,5.56mm,,0.57,,,123602,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,M16A1,1.556,3,,,10,3,8,30,3,1,0.1,3,40,Assault Rifles
2,1,0.2,1,23mm,,0.57,,,87058,,,,true,,,,,,,,1575,,,1575,,,,,,,,,3461.54,Twin Type 23,1.46,8.5,,,29,4,0.8,30,0.4,1,0.05,30,46,Anti-Aircraft Autocannon
3,1,0.6,1,25mm,,0.57,,,77931,,,,true,,,,,,,,1750,,,1750,,,,,,,,,3461.54,M242 Bushmaster I,1.5,9.5,,,31.5,2,1.8,15,1.6,1,0.3,15,50,Autocannon
,0.5,0.3,1.5,7.62mm,,0.57,,,82022,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,Type 73,2.25,3,,,50,3,2,30,1,1,0.15,3,55,SAW
2,1,0.15,1,20mm,,0.57,,,86808,,,,true,,,,,,,,1575,,,1575,,,,,,,,,3461.54,M621,1.4,7.5,,,25,2,1,15,0.6,1,0.05,15,40,Autocannon
,20,0.5,,Cruise,,0.57,,,121641,,,,,,,,,,,,875,,,875,,,,,,,,,1250,Kh-32,1.4,325,,,650,1,15,1,0.4,1,0.5,1100,600,Cruise missile
,1,0.6,0.2,5.56mm,,0.57,,,123651,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,L119A1,1,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
3,1,0.6,1,30mm,,0.57,,,86219,,,,true,,,,,,,,1575,,,1575,,,,,,,,,3461.54,2A42,1.6,11.5,,,37.5,2,1,15,0.6,1,0.5,15,60,Autocannon
16,1,0.35,2,SACLOS,,1.2,,,78249,,,true,,true,,,,,,,2275,,,2275,,175,,,175,500,2.3,600,500,Bulsae-1M,2,5,,,400,1,5,1,1,1,0.05,61,150,ATGM
24,1,0.6,2,SACLOS,,0.97,,,79806,,,true,,true,,,,,,,2450,,,2450,,175,,,175,750,1.9,900,750,BGM-71E TOW 2A,2,5,,,400,1,5,1,1,1,0.4,165,150,ATGM
,20,0.15,,1000kg,,0.57,,,87551,,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,Mk 84,6,325,,,500,4,5,4,0.2,2,0.15,3500,600,HE Bomb
,1,0.6,1,30mm,,0.57,,,86220,,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,2A42,1.6,11.5,,,37.5,2,1,15,0.6,1,0.5,15,60,Autocannon
10,1,0.3,,85mm HEAT,,0.86,,,79847,,,true,,,,,,,,,525,,,525,,,,,,,,,769.23,RPG-7,2.64,2.5,,,205,1,6,1,1,1,0.05,20,340,LAW
,11,,10,220mm,1,0.06,700,175,78107,,,,,,,,,,,,35000,,,35000,,7000,,,7000,,,,1057.69,9M27F [10s],2.47,132,,,660,16,180,16,1.25,1,,1088,442,MLRS
,3,0.65,1.4,120mm,,0.29,,,79000,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,L44,2.2,45,,,150,1,6.6,1,1,1,0.5,25,138,Main Gun
,,,5,155mm,,0.06,210,210,121677,,,,,,,,,true,,,41300,,,41300,,4130,,,4130,,,,1057.69,Type 05 L/52 [10s],2.03,155,,175,310,4,15,4,3.75,1,,337,,Howitzer
,3,0.3,1.4,85mm,,0.29,,,83765,,,,,,,,,,,,1750,,,1750,,,,,,,,,2692.31,S-53,1.85,32,,,106.5,1,8.5,1,1,1,0.1,15,98,Main Gun
,9,0.65,,Radar,,0.57,,,122200,,true,,,true,,true,,,,4025,,4200,5600,,,,,,,2000,10,15000,2000,HHQ-9B,2,245,,,490,2,5,2,1,1,0.65,180,280,Naval SAM
20,1,0.5,2,SACLOS,,0.97,,,81276,,,true,,true,,,,,,,2450,,,2450,,175,,,175,750,1.9,900,750,BGM-71D TOW 2,2,5,,,400,2,10,2,1,1,0.25,188,150,ATGM
,0.5,0.4,2,5.56mm,,0.57,,,123988,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,L110A3 Minimi,2.25,2.5,,,50,20,5,200,0.8,1,0.2,20,40,SAW
,0.75,0.1,1,12.7mm,,0.57,,,77421,,,,,,,,,,,,1050,875,,1050,,,,,,,,,3461.54,DShK,1.254,5,,,16,10,2,100,0.8,1,0.05,10,90,MMG
,1,0.4,1,23mm,,0.57,,,86628,,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,Twin GSh-23,1.46,8.5,,,29,8,0.6,100,0.2,1,0.25,60,46,Anti-Aircraft Autocannon
,3,0.6,1.4,120mm,,0.29,,,122693,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,GIAT 120 [Auto],2.2,45,,,150,40,5,40,5,1,0.5,1000,138,Main Gun
,1,0.45,0.6,5.56mm,,0.57,,,122609,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,HK416F,1.556,2.5,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
,5,0.5,1,Infrared,,0.57,,,121383,,true,,,true,,,,,,,,2275,1820,,,,,,,2000,10,9000,2000,FIM-92C Stinger,2,175,,,350,4,20,4,2,1,0.5,234,200,SAM
,0.5,0.2,2,7.62mm,,0.57,,,77557,,,,,,,,,,,,875,595,,875,,87,,,87,,,,3461.54,NF-1,2.25,3,,,50,10,5,100,1,1,0.05,10,55,LMG
11,1,0.65,2,MMW,,1.15,,,82638,true,,true,,true,,,,,,,2450,,,2450,,175,,,175,700,1.6,1400,700,Spike LR,2.25,5,,,400,1,5,1,1,1,0.05,133,150,ATGM
,1,0.95,2,7.62mm,,0.57,,,124074,,,,,,,,,,,,1050,700,,1050,,87,,,87,,,,3461.54,M110A1 CSASS,1.12,3,,,10,1,3,1,3,1,0.2,6,55,Sniper Rifle
21,1,0.6,1,120mm,,0.29,,,121219,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,M256,2.2,2.5,,,300,1,6.6,1,1,1,0.55,25,138,Main Gun
,1,0.45,0.6,7.62mm,,0.57,,,80442,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,KL-103,1.762,3,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
23,1,0.75,1,120mm,,0.29,,,80757,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L/55,2.2,2.5,,,300,1,6.6,1,1,1,0.7,25,138,Main Gun
,0.5,0.2,2,7.62mm,,0.57,,,77840,,,,,,,,,,,,875,595,,875,,87,,,87,,,,3461.54,L7A1,2.25,3,,,50,10,5,100,1,1,0.05,10,55,LMG
2,1,0.25,1,30mm,,0.57,,,86479,,,,true,,,,,,,,1575,,,1575,,,,,,,,,3461.54,GSh-30k,1.6,11.5,,,37.5,4,0.6,30,0.2,1,0.15,30,60,Anti-Aircraft Autocannon
20,1,0.5,2,SALH,,0.63,,,121549,,,true,,true,,,,,,,2625,,,2625,,175,,,175,1000,1.1,1400,1000,GP-105,2,5,,,400,1,8,1,1,1,0.35,120,150,ATGM
12,1,0.55,1,105mm,,0.29,,,123486,,,,true,,,,,,,,2100,,,2100,,,,,,,,,3461.54,KM68A1,2.05,2.5,,,262.5,1,7.5,1,1,1,0.05,20,121,Main Gun
18,1,0.6,,84mm HEAT,,0.86,,,77892,,,true,,,,,,,,,875,,,875,,,,,,,,,769.23,Carl Gustav M3 [SMK],2.68,2.5,,,210,1,6,1,1,1,0.05,20,336,LAW
,7,,15,Laser-guided,0.05,0.06,140,140,123450,,,,,,,,,,,,29750,,,29750,,2975,,,2975,,,,1057.69,Basir [15s],2.01,152,,,304,5,120,5,6,1,,595,350,Howitzer
21,1,0.65,1,120mm,,0.29,,,81205,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,M256,2.2,2.5,,,300,1,6.6,1,1,1,0.6,25,138,Main Gun
,12,0.15,,500kg,,0.57,,,121150,,,,,,true,,,,,,3500,,,3500,,,,,,,,,750,ODAB 500,6,187.5,325,,300,6,5,6,0.2,2,0.15,2500,600,HE Bomb
20,1,0.5,,Antiradar,,0.57,,,88100,,true,true,,true,,,true,,,,4550,,,4550,,875,,,875,2000,10,15000,2000,AGM-88D HARM,2,5,,,10,2,1.8,2,0.4,1,0.5,4000,150,Anti-Radar
,8,0.45,1,127mm,,0.29,,,122273,,,,,,,,,,,2975,5950,2975,2975,5950,,,,,,,,,2692.31,"5""/62 Mk. 45 [x2]",2.27,95,,,156.5,4,4.5,4,1.1,1,0.45,100,72,Naval Gun
,3,0.5,0.2,90mm,,0.57,,,122977,,,,,,,,,,,,2275,,,2275,,700,,,700,,,,2307.69,BRM-1,1.38,33.94,,,112.02,7,5,7,0.4,1,0.5,140,207,Rocket Pod
,1,0.3,1,7.62mm,,0.57,,,78942,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Type 68,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,5,0.6,0.2,Radar,,0.57,,,87502,,true,,,true,,true,,,,,,,7000,,,,,700,,1500,10,20000,1500,AIM-120C AMRAAM,2,175,,,350,1,2,1,2,1,0.6,1000,200,AAM
18,1,0.65,1,120mm,,0.29,,,122687,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,GIAT 120 [Auto],2.2,2.5,,,300,40,5,40,5,1,0.55,1000,138,Main Gun
23,1,0.6,0.2,SACLOS,,0.74,,,78795,,,true,,true,,,,,,,1050,,,1050,,,,,,1000,10,1200,1000,Eryx,2,5,,,400,1,5,1,1,1,0.05,75,150,ATGM
,5,0.65,0.2,Radar,,0.57,,,121878,,true,,,true,,true,,,,,,,8400,,,,,700,,2000,10,15000,2000,Meteor,2,175,,,350,1,2,1,2,1,0.65,1000,200,AAM
,7,0.65,0.2,Radar,,0.57,,,84262,,,,,true,,true,,,,,,2975,3150,,,,630,,,1500,10,12500,1500,9M331,2,245,,,490,8,30,8,0.2,1,0.05,973,280,SAM
,10,0.5,0.2,GPS-guided,,0.57,,,88259,,true,,,true,,,,,,,3500,,,3500,,1400,,,1400,1000,10,750,1000,GBU-12 Paveway II,2,112.5,,,225,4,1,4,0.6,1,0.5,4000,600,Laser Guided HE Bomb
,1,0.45,0.6,5.45mm,,0.57,,,81975,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AK-12,1.545,2.5,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
,2,0.5,0.2,70mm,,0.57,,,121277,,,,,,,,,,,,2275,,,2275,,700,,,700,,,,2307.69,APKWS,1.466667,26.5,,,87.5,19,5,19,0.4,2,0.5,238,161,Rocket Pod
,5,0.6,,170mm,,1.72,,,121946,,true,,,true,,,,,,,2800,,,2800,,175,,,175,1250,0.7,2500,1000,Hermes-A,2,63.75,,,212.5,2,2.5,2,1.5,1,0.5,300,391,ATGM
20,6,0.7,4,Radar,,0.29,,,85598,,true,true,,true,,true,,,,,,,,9450,,,,,700,500,10,3000,500,YJ-18,2,200,,,400,2,5,2,2,1,0.7,500,,SSM
,4,0.5,1,Infrared,,0.57,,,82355,,true,,,true,,,,,,,,2625,2100,,,,,,,2000,10,9000,2000,QW-2,2,140,,,280,4,20,4,2,1,0.5,200,160,SAM
,10,,35,203mm,,0.06,175,175,80295,,,,,,,,,,,,36750,,,36750,,1680,,,1680,,,,1057.69,M201A [35s],2.35,203,,,406,2,30,2,15,1,,177,467,Howitzer
5,1,0.6,1,40mm,,0.57,,,122927,,,,true,,,,,,,,1925,,,1925,,,,,,,,,3461.54,CTAS40,1.7,15,,,50,2,2,10,1.6,1,0.5,15,80,Autocannon
24,1,0.6,2,SACLOS,,0.97,,,80609,,,true,,true,,,,,,,2450,,,2450,,175,,,175,750,1.9,900,750,BGM-71E TOW 2A,2,5,,,400,2,10,2,1,1,0.4,330,150,ATGM
,9,0.5,0.2,Radar,,0.57,,,77622,,,,,true,,true,,,,,,2450,3850,,,,525,,,1250,10,15000,1250,9M317,2,315,,,630,4,30,4,1,1,0.05,702,360,SAM
,0.5,0.3,2,5.8mm,,0.57,,,123671,,,,,,,,,,,,770,595,,770,,87,,,87,,,,3461.54,QJY-88,2.25,3,,,50,10,5,100,1,1,0.05,10,40,LMG
,9,0.7,0.2,Radar,,0.57,,,121483,,,,,true,,true,,,,,,,5600,,,,,,,2000,10,15000,2000,48N6DM,2,315,,,630,4,30,4,4,1,0.7,1152,360,SAM
,2,0.15,1,30mm Frag,,0.86,,,123456,,,,,,,,,,,,1225,,,1225,,52,,,52,,,,769.23,Twin AG-17,2.25,35,,,70,20,15,60,0.4,1,0.1,160,70,Grenade Launcher
11,1,0.6,6,SALH,,0.74,,,123538,true,true,true,,true,,,,,,,2625,,,2625,,175,,,175,1000,1.5,1200,1000,KSTAM,2,5,,,400,1,30,1,1,1,0.5,281,150,ATGM
,1,0.4,1,5.56mm,,0.57,,,121776,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,G36A2,1.556,2.5,,,10,4,6,40,3,1,0.4,4,40,Assault Rifles
