AP,HE,accuracy,aimTime,caliber,corrShotMultiplier,dispersionAngle,dispersionMax,dispersionMin,inst_num,isCluster,isFireAndForget,isKEorHEAT,isMissile,isNapalm,isRadar,isSEAD,isSmoke,loadType,maxrangeDef,maxrangeGround,maxrangeHeli,maxrangePlane,maxrangeShip,minrangeDef,minrangeGround,minrangeHeli,minrangePlane,minrangeShip,missileAcceleration,missileCorrInterval,missileSpeedMax,muzzleVelocity,name,noiseMalus,radiusDamage,radiusNapalm,radiusSmoke,radiusSuppress,salvoLength,salvoReload,salvoVisAmmo,shotReload,simultShots,stabilizer,supplyPerShot,suppress,typeArme
,1,0.2,1,20mm,,0.57,,,82408,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,M-55,1.4,7.5,,,25,2,0.8,15,0.4,1,0.15,15,40,Autocannon
,5,0.5,1,Napalm,,1.15,,,87524,,,,,true,,,,,,525,,,525,,52,,,,,,,1057.69,RPO Rys,1.81,73,50,,365,1,6,1,1,1,0.1,25,225,Rocket Launcher
,4,0.5,1.4,125mm,,0.29,,,88209,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M,2.25,47,,,156.5,24,6.6,24,6.6,1,0.35,600,144,Main Gun
,1,0.4,1,5.56mm,,0.57,,,86927,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,K2,1.556,2.5,,,10,4,6,40,3,1,0.4,4,40,Assault Rifles
19,1,0.55,1,115mm,,0.29,,,83101,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A20,2.15,2.5,,,287.5,28,7.5,28,7.5,1,0.3,700,133,Main Gun
,0.5,0.5,2,5.45mm,,0.57,,,87716,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,RPK-74,2.25,2.5,,,50,5,2,45,0.8,1,0.3,5,40,SAW
20,5,0.6,0.2,Radar,,0.29,,,93957,,true,HEAT,true,,,,,,,,,,5250,,,,,700,400,10,2000,400,Sea Eagle,2,200,,,400,2,1,2,0.4,1,0.6,3200,,SSM
,,,15,155mm,,0.06,280,280,82485,,,,,,,,true,,,24500,,,24500,,2450,,,2450,,,,1057.69,m/60,2.03,155,,175,310,14,15,14,3,1,,473,,Howitzer
,10,0.1,,227kg,,0.57,,,92223,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,Mk 82,6,112.5,,,191,25,5,25,0.2,6,0.1,4250,600,HE Bomb
2,1,0.15,1,23mm,,0.57,,,86333,,,KE,,,,,,,,1575,,,1575,,,,,,,,,3461.54,NS-23,1.46,8.5,,,29,2,1.2,15,0.8,1,0.05,15,46,Autocannon
20,4,0.4,4,Radar,,0.29,,,89632,,true,HEAT,true,,true,,,,,,,,8750,,,,,700,400,10,2000,400,RGM-84 Harpoon,2,200,,,400,4,30,4,1,1,0.4,1000,,SSM
,1,0.15,,57mm,,0.11,,,89674,,,,,,,,,,,2450,2450,2450,2450,,,,,,,,,3461.54,Dual Type 66,6.28,21.5,,,43,5,4,40,1,1,0.05,40,2,Naval Auto-cannon
13,1,0.55,1,105mm,,0.29,,,83002,,,KE,,,,,,,,2100,,,2100,,,,,,,,,3461.54,L7,2.05,2.5,,,262.5,1,7.5,1,1,1,0.25,20,121,Main Gun
,4,0.65,1.4,125mm,,0.29,,,88704,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,PLA 125,2.25,47,,,156.5,21,8.5,21,8.5,1,0.5,700,144,Main Gun
17,1,0.55,,Antiradar,,0.57,,,89951,,true,HEAT,true,,,true,,,,3500,,,3500,,875,,,875,2000,10,15000,2000,AGM-122 Sidearm,2,5,,,10,1,2,1,2,1,0.55,176,150,Anti-Radar
26,1,0.7,,SACLOS,,0.97,,,90118,,,HEAT,true,,,,,,,2800,,,2800,,175,,,175,750,1.9,900,750,ZT3A2 Ingwe,2,5,,,400,1,1,1,1,1,0.5,219,150,ATGM
,2,0.15,1,30mm Frag,,0.86,,,83692,,,,,,,,,,,1225,,,1225,,52,,,52,,,,769.23,AGS-17,2.25,25,,,90,10,7,30,0.8,1,0.1,80,90,Grenade Launcher
,4,0.4,1,Infrared,,0.57,,,84649,,true,,true,,,,,,,,2450,1960,,,,,,,2000,10,9000,2000,Igla-1,2,140,,,280,4,10,4,2,1,0.4,201,160,SAM
,1,0.6,0.2,5.56mm,,0.57,,,87314,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,M16,1.556,2.5,,,10,8,3,80,1.5,1,0.3,8,40,Assault Rifles
,1,0.15,1,20mm,,0.57,,,82967,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,HS.404,1.4,7.5,,,25,2,0.8,15,0.4,1,0.1,15,40,Autocannon
,1,0.8,0.2,7.62mm,,0.57,,,82700,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Type 85 SMG,1,3,,,10,8,2,80,1,1,0.8,8,40,SMG
,1,0.45,0.6,5.56mm,,0.57,,,86693,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,Vektor R2,1.556,2.5,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
,3,0.45,1.4,90mm,,0.29,,,84040,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,Kv-90S73,1.9,34,,,112.5,1,6.6,1,1,1,0.25,15,104,Main Gun
,1,0.25,1,20mm,,0.11,,,82333,,,,,,,,,,,1050,2450,1750,1050,,,,,,,,,3461.54,TCM 20,4.8,7.5,,,65,62,15,600,0.4,1,0.05,600,80,Twin Autocannon
,1,0.3,1,7.62mm,,0.57,,,82775,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Type 68,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,1,0.3,1,7.62mm,,0.57,,,83637,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,kbk AKM,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,2,,4,60mm,,0.06,87,87,81417,,,,,,,,,,,4200,,,4200,,420,,,420,,,,692.31,HB 60 LP,1.4,30,,,90,6,6,6,2,1,,96,145,Mortar
22,1,0.5,,SACLOS,,1.72,,,90163,,,HEAT,true,,,,,,,2625,,,2625,,175,,,175,500,1.7,1000,500,HOT 1,2,5,,,400,1,1,1,1,1,0.35,138,150,ATGM
,4,0.5,1.4,125mm,,0.29,,,88107,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M,2.25,47,,,156.5,28,7.5,28,7.5,1,0.4,700,144,Main Gun
,1,0.8,0.2,5.45mm,,0.57,,,84672,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,STG 943,1.545,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
,0.75,0.3,2,Napalm,,0.57,,,83893,,,,,true,,,,,,350,,,350,,,,,,,,,423.08,T148,4,25,50,,250,8,2,8,1,1,0.1,100,45,Flamethrower
,1,0.8,0.2,7.62mm,,0.57,,,86919,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,L1A1 SLR,1.762,3,,,10,8,4,80,2,1,0.2,8,50,Battle Rifle
,3,0.5,1.4,105mm,,0.29,,,88502,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,PLA 105,2.05,39.5,,,131.5,1,7.5,1,1,1,0.15,20,121,Main Gun
23,1,0.7,1,120mm,,0.29,,,84823,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L44,2.2,2.5,,,300,1,6.6,1,1,1,0.65,25,138,Main Gun
19,1,0.6,1,120mm,,0.29,,,83093,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L11A5,2.2,2.5,,,300,1,8.5,1,1,1,0.05,25,138,Main Gun
,7,,15,122mm,1,0.06,700,175,83297,,,,,,,,,,,35000,,,17500,,7000,,,3500,,,,1057.69,FIROS-30,1.81,73,,,365,20,80,20,0.2,1,,480,285,MLRS
,1,0.45,0.6,5.56mm,,0.57,,,83685,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,Galil,1.556,2.5,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
,1,0.2,1,23mm,,0.57,,,91277,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,23mm Z-9,1.46,8.5,,,29,4,0.6,30,0.4,1,0.05,30,46,Twin Autocannon
26,1,0.5,,SALH,,0.57,,,93756,,,HEAT,true,,,,,,,3150,,,3150,,175,,,175,2000,10,4000,2000,9K121 Vikhr,2,5,,,400,1,0.2,1,,1,0.5,585,150,ATGM
,20,0.2,,1000kg,,0.57,,,93656,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,FAB 1000,6,325,,,500,2,5,2,0.2,1,0.2,2500,600,HE Bomb
,2,0.35,1.4,73mm,,0.57,,,81988,,,,,,,,,,,1575,,,1575,,,,,,,,,2692.31,2A28 Grom,1.73,27.5,,,91.5,1,6,1,1,1,0.05,15,84,Main Gun
,15,0.25,,500kg,,0.57,,,92522,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,MC / GP Mk.10,6,187.5,,,300,2,5,2,0.2,1,0.25,1500,600,HE Bomb
,1,0.6,0.6,9mm PB,,0.57,,,84402,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Suomi KP,1.9,3.5,,,11.5,8,2,60,1,1,0.3,6,30,SMG
14,1,0.45,2,SACLOS,,1.2,,,82067,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,500,2.3,700,500,Susong Po,2,5,,,400,1,10,1,1,1,0.1,74,150,ATGM
,1,0.15,1,23mm,,0.57,,,86334,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,NS-23,1.46,8.5,,,29,2,1.2,15,0.8,1,0.05,15,46,Autocannon
,1,0.3,1,7.62mm,,0.57,,,83974,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,Rk 62,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,1,,30,130mm,1,0.06,420,175,88715,,,,,true,,,,,,7700,,,7700,,1540,,,1540,,,,1057.69,T63,1.87,78,150,,390,19,120,19,0.6,1,,760,,MLRS
,6,0.6,1,Infrared,,0.57,,,86908,,,,true,,,,,,,,3325,2625,,,,,,,2000,10,12500,2000,R-73A-S-24,2,210,,,420,2,10,2,1,1,0.05,204,240,SAM
24,1,0.5,2,SACLOS,,1.72,,,84680,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,500,1.6,1000,500,Malyutka-2M,2,5,,,400,6,20,6,1,1,0.05,840,150,ATGM
,3,0.65,1.4,100mm,,0.57,,,82027,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,2A48-1,2,37.5,,,125,22,6,22,6,1,0.35,440,115,Main Gun
,1,0.95,2,12.7mm,,0.57,,,82671,,,,,,,,,,,1575,595,,1575,,87,,,87,,,,3461.54,C15 LRSW,2.25,5,,,16,1,4,1,4,1,0.2,12,90,Sniper Rifle
,1,0.3,0.6,7.62mm,,0.57,,,84883,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Gv M75,1.762,3,,,10,6,6,60,3,1,0.15,6,50,Battle Rifle
21,1,0.65,2,SALH,,0.63,,,86766,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,700,1.1,1400,700,Spike MR,2,5,,,400,1,5,1,1,1,0.05,159,150,ATGM
,3,0.45,1.4,115mm,,0.29,,,88042,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A20,2.15,43.5,,,144,1,10,1,1,1,0.15,25,133,Main Gun
,6,0.6,0.2,SemAct radar,,0.57,,,92830,,,,true,,true,,,,,,,8400,,,,,700,,1000,10,15000,1000,R-27R Vympel,2,210,,,420,1,0.2,1,0.2,1,0.6,700,240,AAM
,3,,4,81mm,,0.06,105,105,89601,,,,,,,,,,,4900,,,4900,,490,,,490,,,,692.31,L16A2,1.54,40.5,,,121.5,5,8,5,2,1,,120,187,Mortar
10,1,0.4,1,85mm HEAT,,0.29,,,87905,,,HEAT,,,,,,,,1750,,,1750,,,,,,,,,3461.54,S-53,1.85,2.5,,,212.5,1,10,1,1,1,0.05,15,100,Main Gun
14,1,0.6,1,120mm,,0.29,,,83087,,,KE,,,,,,,,2100,,,2100,,,,,,,,,3461.54,L11A5,2.2,2.5,,,300,1,8.5,1,1,1,0.35,25,138,Main Gun
18,1,0.55,1,125mm,,0.29,,,88074,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46,2.25,2.5,,,312.5,24,6.6,24,6.6,1,0.45,600,144,Main Gun
13,1,0.3,,MCLOS,,1.43,,,90646,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,375,3,750,375,Falanga,2,5,,,400,1,1,1,1,1,0.2,46,150,ATGM
2,1,0.3,1,20mm,,0.57,,,83276,,,KE,,,,,,,,1575,,,1575,,,,,,,,,3461.54,Rh 202,1.4,7.5,,,25,2,0.8,15,0.4,1,0.15,15,40,Autocannon
,4,0.25,1.4,122mm,,0.29,,,87490,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,D-49,2.22,46,,,152.5,1,8,1,1,1,0.05,25,141,Main Gun
,1,0.6,1,30mm,,0.57,,,90416,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,2A42,1.6,11.5,,,37.5,2,1,15,0.6,1,0.5,15,60,Autocannon
12,1,0.4,1,100mm,,0.57,,,87990,,,KE,,,,,,,,2100,,,2100,,,,,,,,,3461.54,D-10T,2,2.5,,,250,1,7.5,1,1,1,0.15,20,115,Main Gun
,0.5,0.2,2,6.5mm,,0.57,,,82496,,,,,,,,,,,875,595,,875,,87,,,87,,,,3461.54,Ksp m/58,2.25,2.5,,,50,10,5,100,1,1,0.05,10,55,LMG
,3,0.3,1,Infrared,,0.57,,,83529,,true,,true,,,,,,,,2100,1680,,,,,,,1000,10,5000,1000,Strela-2M,2,105,,,210,1,6,1,6,1,0.3,32,120,SAM
,6,0.5,0.2,SemAct radar,,0.57,,,91539,,,,true,,true,,,,,,,7700,,,,,700,,1000,10,15000,1000,AIM-7M Sparrow,2,210,,,420,1,0.2,1,0.2,1,0.5,700,240,AAM
,0.5,0.3,2,6.5mm,,0.57,,,83459,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,Ksp m/58,2.25,2.5,,,50,10,5,100,1,1,0.15,10,55,SAW
,3,0.6,1.4,105mm,,0.29,,,86282,,,,,,,,,,,2275,,,2100,,,,,,,,,2692.31,OTO Melara 105mm M52,2.05,39.5,,,131.5,1,6,1,1,1,0.5,20,121,Main Gun
,12,0.15,,340kg,,0.57,,,91860,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,M117,6,143.5,,,236,12,5,12,0.2,2,0.15,3750,600,HE Bomb
24,1,0.5,2,SACLOS,,0.97,,,89119,,,HEAT,true,,,,,,,2800,,,2800,,175,,,175,750,2,900,750,HJ-8A,2,5,,,400,4,10,4,1,1,0.5,640,150,ATGM
15,1,0.4,2,SACLOS,,1.2,,,82011,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,500,2.3,700,500,Malyutka-P,2,5,,,400,1,10,1,1,1,0.1,70,150,ATGM
16,1,0.35,,SACLOS,,1.72,,,90661,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,375,2.1,750,375,Fleyta,2,5,,,400,1,1,1,1,1,0.2,65,150,ATGM
17,1,0.6,1,100mm,,0.57,,,88001,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,D-10T,2,2.5,,,250,1,7.5,1,1,1,0.15,20,115,Main Gun
17,1,0.6,1,105mm,,0.29,,,86281,,,KE,,,,,,,,2275,,,2100,,,,,,,,,3461.54,OTO Melara 105mm M52,2.05,2.5,,,262.5,1,6,1,1,1,0.5,20,121,Main Gun
,1,0.6,0.2,5.45mm,,0.57,,,84444,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AKS-74U,1.545,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
16,1,0.6,1,120mm,,0.29,,,82801,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L11A5,2.2,2.5,,,300,1,8.5,1,1,1,0.4,25,138,Main Gun
10,1,0.25,,450kg,,0.57,,,93581,true,,HEAT,,,,,,,,3500,,,3500,,,,,,,,,576.92,BK90 Mjölner,4,250,,,275,4,5,4,0.2,2,0.25,3000,300,AT Cluster Bomb
6,1,0.2,,340kg,,0.57,,,93446,true,,HEAT,,,,,,,,3500,,,3500,,,,,,,,,576.92,CBU-24,6,225,,,250,5,5,5,0.2,2,0.2,2750,300,AT Cluster Bomb
,2,0.4,1.4,76.2mm,,0.29,,,86519,,,,,,,,,,,1750,,,1750,,,,,,,,,2692.31,D-56T,1.76,29,,,95.5,1,7.5,1,1,1,0.1,15,88,Main Gun
,4,0.4,0.2,Infrared,,0.57,,,93381,,true,,true,,,,,,,,2100,3500,,,,420,700,,2000,10,12500,2000,Shafrir 2,2,140,,,280,1,2,1,2,1,0.4,500,160,AAM
,1,0.2,1,20mm,,0.11,,,86201,,,,,,,,,,,1575,2450,1750,1575,,,,,,,,,3461.54,Oerlikon 20,4.8,7.5,,,65,10,6,100,1,1,0.05,50,40,Autocannon
,1,0.6,0.6,40mm Frag,,0.86,,,83595,,,,,,,,,,,455,,,455,,52,,,,,,,769.23,Pallad-M,1.3,25,,,90,4,4,7,0.6,1,0.1,40,90,Grenade Launcher
,4,0.3,0.2,127mm,,1.15,,,91360,,,,,,,,,,,2450,,,2450,,700,,,700,,,,2307.69,Mk.24 Zuni,1.846667,48,,,159,16,0.2,16,0.2,8,0.3,600,293,Rocket Pod
,1,0.6,0.2,5.45mm,,0.57,,,83449,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,MPi-AK-74N,1.545,2.5,,,10,8,3,80,1.5,1,0.3,8,40,Assault Rifles
,1,0.95,2,7.62mm,,0.57,,,83920,,,,,,,,,,,1050,595,,1050,,87,,,87,,,,3461.54,G3A3ZF,2.25,3,,,10,1,4,1,4,1,0.2,6,55,Sniper Rifle
14,1,0.4,,83mm HEAT,,0.86,,,82725,,,HEAT,,,,,,,,700,,,700,,,,,,,,,769.23,Type 69,2.66,2.5,,,207.5,1,6,1,1,1,0.05,20,332,LAW
16,1,0.6,1,120mm,,0.29,,,82832,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L44,2.2,2.5,,,300,1,6.6,1,1,1,0.5,25,138,Main Gun
,2,0.2,0.2,80mm,,0.57,,,90393,,,,,,,,,,,2100,,,2100,,700,,,700,,,,2307.69,S-8OFP,1.533333,30,,,100,20,5,20,0.2,2,0.1,210,184,Rocket Pod
,3,0.45,1.4,105mm,,0.29,,,85550,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,M68,2.05,39.5,,,131.5,1,6,1,1,1,0.25,20,121,Main Gun
,1,0.2,0.4,7.62mm,,0.57,,,89930,,,,,,,,,,,1050,1050,,1050,,,,,,,,,3461.54,Twin M134 Minigun,1.15,12,,,40,10,6,400,0.3,1,0.1,20,36,MMG
,9,0.55,0.2,Radar,,0.57,,,84007,,,,true,,true,,,,,,3325,4200,,,,665,,,1250,10,15000,1250,MIM-23B I-Hawk PIP II,2,315,,,630,3,25,3,1,1,0.5,580,360,SAM
,1,0.5,1,35mm Radar,,0.11,,,82668,,,,,,true,,,,,1050,2800,2625,1050,,,,,,,,,3461.54,Twin KDA,5.4,13.5,,,76.5,68,15,500,0.4,1,0.35,500,140,Twin Autocannon
,5,0.6,0.2,SemAct radar,,0.57,,,93291,,,,true,,true,,,,,,,7000,,,,,700,,1000,10,15000,1000,Super 530 D,2,175,,,350,1,0.2,1,0.2,1,0.6,700,200,AAM
,4,0.5,0.2,Infrared,,0.57,,,91462,,true,,true,,,,,,,,2100,3850,,,,420,700,,2000,10,9000,2000,AIM-9L,2,140,,,280,1,2,1,2,1,0.5,500,160,AAM
,4,0.45,0.2,Infrared,,0.57,,,90124,,true,,true,,,,,,,,2625,3150,,,,,,,2000,10,12500,2000,V3B Kukri,2,140,,,280,1,2,1,2,1,0.45,66,160,AAM
,2,0.15,1,76mm,,0.29,,,89704,,,,,,,,,,,2800,2100,700,2800,,,,,,,,,2692.31,Mk34,1.76,57,,,95,10,12,10,1,1,0.15,100,44,Naval Gun
,8,0.7,1.4,165mm,,0.57,,,82974,,,,,,,,,,,1050,,,1050,,175,,,175,,,,1057.69,M135,2.1,165,,,330,1,10,1,1,1,,50,380,Main Gun
,0.5,0.2,1,7.62mm,,0.57,,,88945,,,,,,,,,,,875,525,,875,,,,,,,,,3461.54,M240,1.762,3,,,10,20,4,200,0.4,1,0.05,40,55,MMG
,2,0.15,0.2,70mm,,0.57,,,89847,,,,,,,,,,,2100,,,2100,,700,,,700,,,,2307.69,FFAR,1.466667,26.5,,,87.5,7,5,7,0.2,2,0.05,44,161,Rocket Pod
,5,0.5,0.2,Infrared,,0.57,,,93809,,true,,true,,,,,,,,2100,4200,,,,420,700,,2000,10,9000,2000,R-73M1 Vympel,2,175,,,350,1,2,1,2,1,0.5,600,200,AAM
30,1,0.6,,SALH,,0.57,,,93883,,,HEAT,true,,,,,,,3500,,,3500,,700,,,700,2000,10,4000,2000,AS-30L,2,5,,,400,1,0.2,1,0.2,1,0.6,900,150,AGM
,3,0.4,1.4,88mm,,0.29,,,88569,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,T62-85TC,1.85,32,,,106.5,1,7.5,1,1,1,0.15,15,98,Main Gun
,,,5,152mm,,0.06,140,140,86422,,,,,,,,true,,,32200,,,32200,,3220,,,3220,,,,1057.69,ShKH-77,2.01,152,,175,304,10,15,10,6.5,1,,842,,Howitzer
,0.5,0.4,2,7.7mm,,0.57,,,86921,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,Bren L4,2.25,3,,,50,3,2,30,1,1,0.25,3,55,SAW
,1,0.3,0.4,23mm,,1.15,,,92674,,,,,,,,,,,2100,1575,2275,2100,,,,,,,,,5769.23,Gsh-23L,1.46,8.5,,,29,10,1,50,0.2,1,0.3,25,46,Autocannon
,3,0.65,1.4,120mm,,0.29,,,86041,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,MG151,2.2,45,,,150,1,6,1,1,1,0.6,25,138,Main Gun
,4,0.5,0.2,Infrared,,0.57,,,93582,,true,,true,,,,,,,,2100,3850,,,,420,700,,2000,10,9000,2000,Rb 74,2,140,,,280,1,2,1,2,1,0.5,500,160,AAM
,3,0.5,1,Infrared,,0.57,,,82718,,true,,true,,,,,,,,2275,1820,,,,,,,1000,10,5000,1000,HN-5B,2,105,,,210,1,6,1,6,1,0.5,35,120,SAM
20,1,0.55,,SACLOS,,1.72,,,90677,,,HEAT,true,,,,,,,2800,,,2800,,175,,,175,600,1.5,1200,600,Kokon,2,5,,,400,1,1,1,1,1,0.4,147,150,ATGM
,3,0.6,1,105mm,,0.29,,,88735,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,T83,2.05,39.5,,,131.5,1,6.6,1,1,1,0.45,20,121,Main Gun
,1,0.5,1,25mm,,0.57,,,81729,,,,,,,,,,,1750,1575,,1750,,,,,,,,,3461.54,Bushmaster,1.5,9.5,,,31.5,2,1.7,15,1.3,1,0.25,15,50,Autocannon
20,5,0.5,4,Radar,,0.29,,,89772,,true,HEAT,true,,true,,,,,,,,6125,,,,,700,300,10,1500,300,Hai Ying-1J,2,200,,,400,1,10,1,3,1,0.5,250,,SSM
6,1,0.7,1,50mm,,0.57,,,85987,,,KE,,,,,,,,1925,,,1925,,,,,,,,,3461.54,Rh-503,2,19,,,62.5,2,2.4,15,2,1,0.5,15,100,Autocannon
,,,4,120mm,,0.06,175,175,81285,,,,,,,,true,,,7700,,,7700,,770,,,770,,,,826.92,2A60 Nona,1.8,60,,150,180,6,4,6,4,1,,120,,Mortar
10,1,0.3,,83mm HEAT,,0.86,,,82556,,,HEAT,,,,,,,,525,,,525,,,,,,,,,769.23,M20A1 Super Bazooka,2.8,2.5,,,225,1,6,1,1,1,0.05,15,360,LAW
,1,0.4,0.2,7.62mm,,0.57,,,84533,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AK4,1.762,3,,,10,8,4,80,2,1,0.2,8,50,Assault Rifles
,1,0.45,0.6,5.56mm,,0.57,,,83910,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AR 70,1.556,2.5,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
,5,,8,120mm,,0.06,140,140,83648,,,,,,,,,,,7700,,,7700,,770,,,770,,,,826.92,2S11 Tundscha,1.8,60,,,180,3,12,3,4,1,,120,265,Mortar
,1,0.1,0.4,25mm,,0.11,,,89675,,,,,,,,,,,1750,2100,2450,1750,,,,,,,,,3461.54,Dual Type 61,5,12.5,,,25,10,6,100,1,1,0.05,50,2,Naval Auto-cannon
,2,0.3,1,Napalm,,0.57,,,84339,,,,,true,,,,,,1050,,,1050,,,,,,,,,423.08,M10-8,3,100,250,,200,20,4,20,1,1,0.2,200,100,Flamethrower
,1,0.3,1,5.45mm,,0.57,,,81360,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AK-74,1.545,2.5,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,1,0.45,0.6,7.62mm,,0.57,,,82521,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AKM,1.762,3,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
20,8,0.6,4,Radar,,0.29,,,89684,,true,HEAT,true,,true,,,,,,,,6125,,,,,700,400,10,2000,400,P-120 Malakhit,2,200,,,400,1,10,1,3,1,0.6,250,,SSM
,0.75,0.3,1,12.7mm,,0.57,,,89846,,,,,,,,,,,1225,1225,,1225,,,,,,,,,3461.54,FN HMP 400 LCC,1.254,5,,,16,20,2,200,0.4,1,0.15,40,90,MMG
30,1,0.35,,MCLOS,,0.57,,,91524,,,HEAT,true,,,,,,,3500,,,3500,,700,,,700,2000,10,4000,2000,AS-30,2,5,,,400,1,0.2,1,0.2,1,0.35,900,150,AGM
24,1,0.5,,105mm HEAT,,0.86,,,81361,,,HEAT,,,,,,,,525,,,525,,,,,,,,,769.23,RPG-7VR,3.1,2.5,,,262.5,1,6,1,1,1,0.05,20,420,LAW
,1,0.6,1,35mm Radar,,0.11,,,83567,,,,,,true,,,,,1050,2800,2625,1050,,,,,,,,,3461.54,Twin GDF-001,5.4,13.5,,,76.5,92,15,680,0.4,1,0.3,680,140,Twin Autocannon
,0.5,0.3,2,5.56mm,,0.57,,,88801,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,L86 LMG,2.25,2.5,,,50,3,2,30,1,1,0.1,3,40,SAW
,1,0.6,0.6,7.62mm,,0.57,,,81621,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,L1A1 SLR,1.762,3,,,10,6,6,60,3,1,0.15,6,50,Battle Rifle
3,1,,20,127mm,1,0.06,700,175,82461,true,,HEAT,,,,,,,,24500,,,24500,,4900,,,4900,,,,1057.69,FV2,1.85,150,,,175,20,80,20,0.2,1,,680,312,MLRS
,1,0.6,0.2,5.56mm,,0.57,,,86709,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,Carbine M727,1.556,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
,2,0.3,0.2,70mm,,1.15,,,91203,,,,,,,,,,,2100,,,2100,,700,,,700,,,,2307.69,M151 CRV7,1.466667,26.5,,,87.5,7,5,7,0.2,2,0.3,132,161,Rocket Pod
,8,0.6,,Radar,,0.57,,,89753,,true,,true,,true,,,,2100,,3500,4550,,,,,,,2000,10,12500,2000,Shtil-1,2,280,,,560,1,8,1,8,1,0.6,92,320,Naval SAM
23,1,0.7,1,120mm,,0.29,,,88749,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,Rh-M-120,2.2,2.5,,,300,35,5,35,5,1,0.65,875,138,Main Gun
